region,station,split,model,RMSE,MAE,Zero_Acc,y_true,y_pred,end_hour
DTLA,3005,80-20,BASELINE_DT,1.6699897967680568,0.9119058130802054,65.06500847936687,[2. 0. 2. ... 0. 1. 1.],[2. 3. 1. ... 0. 0. 0.],"['2021-10-22T13:00:00.000000000' '2021-10-22T14:00:00.000000000'
 '2021-10-22T15:00:00.000000000' ... '2021-12-31T18:00:00.000000000'
 '2021-12-31T19:00:00.000000000' '2021-12-31T20:00:00.000000000']"
DTLA,3005,80-20,BASELINE_RF,1.1211554242956159,0.7383777215792706,64.89542114188808,[2. 0. 2. ... 0. 1. 1.],[1.07       2.444      1.57733333 ... 1.03522367 0.23       1.        ],"['2021-10-22T13:00:00.000000000' '2021-10-22T14:00:00.000000000'
 '2021-10-22T15:00:00.000000000' ... '2021-12-31T18:00:00.000000000'
 '2021-12-31T19:00:00.000000000' '2021-12-31T20:00:00.000000000']"
DTLA,3005,80-20,BASELINE_GB,0.9674333525022882,0.667724609700643,65.85641605426795,[2. 0. 2. ... 0. 1. 1.],[1.65733024 1.9332166  1.68738131 ... 1.112321   0.9985153  0.70767689],"['2021-10-22T13:00:00.000000000' '2021-10-22T14:00:00.000000000'
 '2021-10-22T15:00:00.000000000' ... '2021-12-31T18:00:00.000000000'
 '2021-12-31T19:00:00.000000000' '2021-12-31T20:00:00.000000000']"
DTLA,3005,80-20,BASELINE_XGB,1.0783236891000645,0.7296139166882964,65.23459581684567,[2. 0. 2. ... 0. 1. 1.],[1.6395555  2.0490177  1.823857   ... 0.73592323 0.62142146 1.8515557 ],"['2021-10-22T13:00:00.000000000' '2021-10-22T14:00:00.000000000'
 '2021-10-22T15:00:00.000000000' ... '2021-12-31T18:00:00.000000000'
 '2021-12-31T19:00:00.000000000' '2021-12-31T20:00:00.000000000']"
DTLA,3005,80-20,BASELINE_LGBM,1.0139575850574105,0.6789727749244223,65.40418315432449,[2. 0. 2. ... 0. 1. 1.],[0.43729666 1.92754137 2.07378445 ... 0.93619104 0.72413722 0.63096726],"['2021-10-22T13:00:00.000000000' '2021-10-22T14:00:00.000000000'
 '2021-10-22T15:00:00.000000000' ... '2021-12-31T18:00:00.000000000'
 '2021-12-31T19:00:00.000000000' '2021-12-31T20:00:00.000000000']"
DTLA,3005,80-20,BASELINE_CATBOOST,1.0138178488535727,0.6823572831426241,67.04352741661957,[2. 0. 2. ... 0. 1. 1.],[1.22878471 1.96402083 1.63991157 ... 1.03214377 0.7989528  1.03175786],"['2021-10-22T13:00:00.000000000' '2021-10-22T14:00:00.000000000'
 '2021-10-22T15:00:00.000000000' ... '2021-12-31T18:00:00.000000000'
 '2021-12-31T19:00:00.000000000' '2021-12-31T20:00:00.000000000']"
DTLA,3005,80-20,BASELINE_ET,1.1114993805836222,0.7221279007498117,66.76088185415489,[2. 0. 2. ... 0. 1. 1.],[0.81 3.07 1.   ... 3.07 0.1  1.05],"['2021-10-22T13:00:00.000000000' '2021-10-22T14:00:00.000000000'
 '2021-10-22T15:00:00.000000000' ... '2021-12-31T18:00:00.000000000'
 '2021-12-31T19:00:00.000000000' '2021-12-31T20:00:00.000000000']"
DTLA,3005,80-20,ZIR_1,1.4531329484189235,0.8048283040368964,65.91294516676088,[2. 0. 2. ... 0. 1. 1.],[4. 2. 1. ... 0. 0. 0.],"['2021-10-22T13:00:00.000000000' '2021-10-22T14:00:00.000000000'
 '2021-10-22T15:00:00.000000000' ... '2021-12-31T18:00:00.000000000'
 '2021-12-31T19:00:00.000000000' '2021-12-31T20:00:00.000000000']"
DTLA,3005,80-20,ZIR_1.2,1.5463336800475183,0.8369422236578822,72.18767665347654,[2. 0. 2. ... 0. 1. 1.],[4. 2. 1. ... 0. 0. 0.],"['2021-10-22T13:00:00.000000000' '2021-10-22T14:00:00.000000000'
 '2021-10-22T15:00:00.000000000' ... '2021-12-31T18:00:00.000000000'
 '2021-12-31T19:00:00.000000000' '2021-12-31T20:00:00.000000000']"
DTLA,3005,80-20,ZIR_2,1.329271727217015,0.7945356192580405,70.77444884115319,[2. 0. 2. ... 0. 1. 1.],[2.85  3.36  1.765 ... 0.    0.    1.94 ],"['2021-10-22T13:00:00.000000000' '2021-10-22T14:00:00.000000000'
 '2021-10-22T15:00:00.000000000' ... '2021-12-31T18:00:00.000000000'
 '2021-12-31T19:00:00.000000000' '2021-12-31T20:00:00.000000000']"
DTLA,3005,80-20,ZIR_3,1.2810156194301192,0.7499088266171364,70.66139061616732,[2. 0. 2. ... 0. 1. 1.],[3.54  3.    1.    ... 3.872 0.    1.59 ],"['2021-10-22T13:00:00.000000000' '2021-10-22T14:00:00.000000000'
 '2021-10-22T15:00:00.000000000' ... '2021-12-31T18:00:00.000000000'
 '2021-12-31T19:00:00.000000000' '2021-12-31T20:00:00.000000000']"
DTLA,3005,80-20,ZIR_4,1.2756282860284311,0.7870043986256592,71.84850197851894,[2. 0. 2. ... 0. 1. 1.],[2.66416178 2.81647622 2.59456386 ... 1.82107197 1.70006671 1.59362649],"['2021-10-22T13:00:00.000000000' '2021-10-22T14:00:00.000000000'
 '2021-10-22T15:00:00.000000000' ... '2021-12-31T18:00:00.000000000'
 '2021-12-31T19:00:00.000000000' '2021-12-31T20:00:00.000000000']"
DTLA,3005,80-20,ZIR_5_XGB,1.3617827098083894,0.8078762343402903,69.81345392877331,[2. 0. 2. ... 0. 1. 1.],[2.77141571 2.6410768  2.50456095 ... 1.96877921 0.         0.        ],"['2021-10-22T13:00:00.000000000' '2021-10-22T14:00:00.000000000'
 '2021-10-22T15:00:00.000000000' ... '2021-12-31T18:00:00.000000000'
 '2021-12-31T19:00:00.000000000' '2021-12-31T20:00:00.000000000']"
DTLA,3005,80-20,ZIR_6_LGBM,1.2835900405044172,0.776318820250611,69.58733747880159,[2. 0. 2. ... 0. 1. 1.],[1.61425283 2.22359897 2.60494523 ... 0.         0.         0.        ],"['2021-10-22T13:00:00.000000000' '2021-10-22T14:00:00.000000000'
 '2021-10-22T15:00:00.000000000' ... '2021-12-31T18:00:00.000000000'
 '2021-12-31T19:00:00.000000000' '2021-12-31T20:00:00.000000000']"
DTLA,3005,80-20,ZIR_7_CATBOOST,1.3050801003873274,0.7963846785606534,71.22668174109667,[2. 0. 2. ... 0. 1. 1.],[2.80351615 2.7491573  2.56134553 ... 1.84900014 1.66586248 0.        ],"['2021-10-22T13:00:00.000000000' '2021-10-22T14:00:00.000000000'
 '2021-10-22T15:00:00.000000000' ... '2021-12-31T18:00:00.000000000'
 '2021-12-31T19:00:00.000000000' '2021-12-31T20:00:00.000000000']"
DTLA,3006,80-20,BASELINE_DT,0.8950196573903781,0.411165550773066,73.47285067873304,[0. 1. 0. ... 0. 0. 1.],[2.  0.  1.  ... 0.  0.5 1. ],"['2021-10-22T12:00:00.000000000' '2021-10-22T13:00:00.000000000'
 '2021-10-22T14:00:00.000000000' ... '2021-12-31T16:00:00.000000000'
 '2021-12-31T17:00:00.000000000' '2021-12-31T18:00:00.000000000']"
DTLA,3006,80-20,BASELINE_RF,0.6019883713312588,0.37979108958412505,69.85294117647058,[0. 1. 0. ... 0. 0. 1.],[1.54333333 0.26       0.438      ... 0.32501672 0.51446723 0.96184589],"['2021-10-22T12:00:00.000000000' '2021-10-22T13:00:00.000000000'
 '2021-10-22T14:00:00.000000000' ... '2021-12-31T16:00:00.000000000'
 '2021-12-31T17:00:00.000000000' '2021-12-31T18:00:00.000000000']"
DTLA,3006,80-20,BASELINE_GB,0.4735139066537023,0.336946142566032,79.3552036199095,[0. 1. 0. ... 0. 0. 1.],[0.57647013 0.41317772 0.45700635 ... 0.40995165 0.50286504 0.5260217 ],"['2021-10-22T12:00:00.000000000' '2021-10-22T13:00:00.000000000'
 '2021-10-22T14:00:00.000000000' ... '2021-12-31T16:00:00.000000000'
 '2021-12-31T17:00:00.000000000' '2021-12-31T18:00:00.000000000']"
DTLA,3006,80-20,BASELINE_XGB,0.5670984698901667,0.3674790321578693,72.90723981900452,[0. 1. 0. ... 0. 0. 1.],[0.97833127 0.33598623 0.62879634 ... 0.22289068 0.43061167 0.4790216 ],"['2021-10-22T12:00:00.000000000' '2021-10-22T13:00:00.000000000'
 '2021-10-22T14:00:00.000000000' ... '2021-12-31T16:00:00.000000000'
 '2021-12-31T17:00:00.000000000' '2021-12-31T18:00:00.000000000']"
